City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Pangnirtung,CA,66.1451,-65.7125,48.34,77,100,4.9,overcast clouds
267,Jilin,CN,43.0,126.0,71.44,91,59,1.81,broken clouds
268,Tazmalt,DZ,36.3868,4.3989,99.68,25,31,14.56,scattered clouds
269,Porbandar,IN,21.6422,69.6093,82.2,78,79,14.23,broken clouds
270,Bud,US,39.447,-86.1758,78.93,78,25,6.22,scattered clouds
271,Orhei,MD,47.3831,28.8231,74.79,78,100,5.21,overcast clouds
272,Cabadiangan,PH,9.7531,122.4739,78.67,87,100,2.17,overcast clouds
273,Agadez,NE,19.75,10.25,105.15,11,36,9.4,scattered clouds
274,Esperance,AU,-33.8667,121.9,52.66,64,52,12.41,broken clouds
275,Newtownards,GB,54.5924,-5.6909,65.14,54,20,9.22,few clouds
276,Chumikan,RU,54.7183,135.315,53.8,99,98,5.79,overcast clouds
277,Along,IN,28.1667,94.7667,74.61,99,100,0.76,overcast clouds
278,Aykhal,RU,66.0,111.5,61.48,93,100,11.54,light rain
279,Norman Wells,CA,65.282,-126.8329,59.7,54,10,6.58,clear sky
280,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,48,14.94,light rain
281,Kongsberg,NO,59.6652,9.6465,67.41,68,100,1.99,overcast clouds
282,Salalah,OM,17.0151,54.0924,78.89,89,75,9.22,broken clouds
283,Aswan,EG,24.0934,32.907,102.65,9,31,11.95,scattered clouds
284,Paamiut,GL,61.994,-49.6678,43.68,89,43,6.64,scattered clouds
285,Jining,CN,35.405,116.5814,79.56,79,92,3.02,overcast clouds
286,Novouzensk,RU,50.4592,48.1431,80.37,43,22,12.03,few clouds
287,Kropotkin,RU,45.4375,40.5756,93.67,21,4,10.4,clear sky
288,Looc,PH,12.2605,121.9926,80.13,84,100,9.78,heavy intensity rain
289,Saint Pete Beach,US,27.7253,-82.7412,93.25,61,0,9.22,clear sky
290,Ornskoldsvik,SE,63.2909,18.7153,70.75,56,60,10.36,broken clouds
291,Ocampo,MX,21.65,-101.5,63.72,57,24,9.93,few clouds
292,Conceicao Do Rio Verde,BR,-21.8808,-45.0853,77.61,30,0,5.14,clear sky
